"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp"
"Code: Breaker: Complete Series (Limited Edition/ DVD & Blu-ray Combo)","FUNimation",,"Out","SUB","LBX, 16:9, BLU-RAY",69.98,"MA13","2012","Anime","1.85:1","704400015908",2014-06-24 00:00:00,261902,2015-03-27 00:00:00
"Code: The Complete Collector's Set: Carl Munck (3-Disc)","UFO TV",,"Out","2.0","4:3",69.95,"NR","UNK","Special Interest","1.33:1","709629905320",2005-03-01 00:00:00,66498,2006-06-13 00:00:00
"Codebreaker","Passion River",,"Out","2.0","LBX, 16:9",24.95,"NR","2011","Documentary","1.78:1","091037721587",2014-03-11 00:00:00,257892,2014-03-11 00:00:00
"Coded Characters (Book w/ DVD)","Hatje Cantz",,"Out","2.0","4:3",35,"NR","2003","Special Interest","1.33:1","9783775712729",2003-04-01 00:00:00,196627,2011-01-04 00:00:00
"Codename: Icarus","Home Vision",,"Discontinued","2.0","4:3",9.99,"NR","1981","Drama","1.33:1","014381296426",2006-01-24 00:00:00,76121,2011-08-11 00:00:00
"Codename: Kids Next Door: Sooper Hugest Missions, File #1, Vol. 1","Warner Brothers",,"Discontinued","2.0","4:3",14.97,"NR","2002","Animation","1.33:1","053939679120",2004-10-26 00:00:00,47503,2008-06-27 00:00:00
"Codename: Kids Next Door: Sooper Hugest Missions, File #1, Vol. 1 (Mini DVD)","Warner Brothers",,"Cancelled","2.0","4:3 P&S, MINI DVD",19.97,"NR","2002","Animation","1.33:1","053939724028",2005-04-26 00:00:00,62403,2007-03-10 00:00:00
"Codename: Kids Next Door: Sooper Hugest Missions, File #2, Vol. 2","Warner Brothers",,"Discontinued","2.0","4:3",14.97,"NR","2002","Family","1.33:1","053939735024",2005-08-23 00:00:00,64738,2006-12-09 00:00:00
"Codependency, Emotional Violence And Domestic Abuse","Educational Video Network",,"Out","2.0","4:3",89.95,"NR","UNK","Special Interest","1.33:1","693940198939",2004-06-15 00:00:00,124901,2007-10-28 00:00:00
"Codependency: Overcome Codependence And Develop Healthy Relationships","AskTheInternetTherapist",,"Discontinued","2.0","4:3",69.99,"NR","2006","Special Interest","1.33:1","182286000247",2006-07-25 00:00:00,89482,2011-12-03 00:00:00
"Codex Alimentarius: The UN Plan To Eradicate Organic Farming And Destroy The Natural Health Industry","CreateSpace",,"Out","2.0","4:3",24.98,"NR","UNK","Special Interest","1.33:1","883629985039",2009-09-22 00:00:00,164201,2009-10-06 00:00:00
"Codicia Mortal","Laguna Films",,"Out","2.0","4:3",7.99,"NR","2000","Foreign","1.33:1","735978488412",2005-12-20 00:00:00,77959,2010-06-25 00:00:00
"Cody Black (Vision Black)","Vision Black",,"Out","2.0","4:3",9.95,"NR","2005","Drama","1.33:1","655690302806",2010-07-27 00:00:00,184298,2010-07-28 00:00:00
"Cody Black (Visionary Entertainment)","Visionary Entertainment",,"Discontinued","2.0","4:3",14.98,"NR","2005","Action/Adventure","1.33:1","655690251111",2006-09-05 00:00:00,89150,2010-06-11 00:00:00
"Cody Kilby, Brad Davis And Tim May: Live In Kansas City","Flatpicking Guitar Magazine",,"Out","2.0","4:3",29.95,"NR","UNK","Music","1.33:1","796279103312",2006-11-14 00:00:00,131863,2008-02-20 00:00:00
"Cody The Robosapien","Anchor Bay",,"Out","2.0","LBX, 16:9",14.98,"PG","2013","Family","1.85:1","013132605524",2013-09-24 00:00:00,248872,2014-06-06 00:00:00
"Cody The Robosapien (Blu-ray)","Anchor Bay",,"Out","2.0","LBX, 16:9, BLU-RAY",19.99,"PG","2013","Family","1.85:1","013132605531",2013-09-24 00:00:00,248930,2014-06-06 00:00:00
"Cody: An Evening With Buffalo Bill","White Star",,"Discontinued","2.0","4:3",19.99,"NR","UNK","Drama","1.33:1","032031308299",2005-03-29 00:00:00,59014,2014-02-06 00:00:00
"Coed And The Zombie Stoner","Asylum Home Entertainment",,"Out","2.0","LBX, 16:9",14.93,"NR","2014","Comedy","1.85:1","883476142999",2014-06-24 00:00:00,261103,2014-06-27 00:00:00
"Coed Escorts","Trinity Home Entertainment",,"Discontinued","2.0","4:3",9.99,"UR","UNK","Late Night","1.33:1","692865445937",2007-09-14 00:00:00,131969,2015-08-29 00:00:00
"Coed Vacation Fantasy","Vivid",,"Discontinued","2.0","4:3",9.99,"UR","1999","Late Night","1.33:1","000732156051",1999-07-06 00:00:00,1291,2008-02-01 00:00:00
"Coeds (Classe Mista/ Collector's Edition)","Televista",,"Out","SUB","LBX, 16:9",24.95,"NR","1967","Foreign","2.35:1","029502695569",2008-10-21 00:00:00,143172,2008-08-15 00:00:00
"Coen Brothers Collection: Big Lebowski / Blood Simple / Intolerable Cruelty / The Man Who Wasn't There","Universal",,"Discontinued","5.1","LBX, 16:9",39.98,"R","VAR","VAR","VAR","025192733826",2005-10-18 00:00:00,70440,2006-08-30 00:00:00
